+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.0456343;0.0902552;0.185191;0.479737;0.147488;0.295585;0;0;0;0;1;
0.0628273;0.0868888;0.25988;0.495679;0.204779;0.284695;0;0;0;0;1;
0.0818446;0.0901541;0.383218;0.500378;0.311157;0.252236;0;0;0;0;1;
0.103474;0.0781464;0.497369;0.527812;0.489713;0.259544;0;0;0;0;1;
0.137138;0.0705987;0.480179;0.561139;0.929311;0.250482;0;1;0;0;0;
0.138308;0.0781545;0.452664;0.517856;1.27025;0.264769;0;1;0;0;0;
0.126735;0.0699388;0.435761;0.497629;0.516547;0.303611;0;1;0;0;0;
0.123068;0.0718382;0.399939;0.469152;0.201036;0.338394;0;1;0;0;0;
0.126589;0.0592505;0.363319;0.434744;0.606834;0.370625;0;1;0;0;0;
0.106522;0.0706299;0.338802;0.403043;0.608827;0.390437;0;1;0;0;0;
0.11705;0.0557713;0.315906;0.369791;0.616176;0.411685;0;1;0;0;0;
0.0978689;0.0599662;0.294682;0.339038;0.618254;0.446859;0;1;0;0;0;
0.0936229;0.0543659;0.254342;0.302999;0.61832;0.484249;0;1;0;0;0;
0.100885;0.047771;0.226909;0.263083;0.626069;0.510884;0;1;0;0;0;
0.0885602;0.0511802;0.204835;0.234591;0.634185;0.545519;0;1;0;0;0;
0.0923854;0.0463933;0.161066;0.203464;0.637042;0.573063;0;1;0;0;0;
0.094569;0.0404682;0.142653;0.166099;0.642459;0.599194;0;0;0;0;1;
0.126553;0.0540808;0.144564;0.174841;0.639944;0.589006;0;0;0;0;1;
0.160977;0.0384902;0.130754;0.21123;0.639512;0.598678;0;0;0;0;1;
0.157083;0.0504234;0.136107;0.238913;0.641001;0.417939;0;0;0;0;1;
0.151572;0.048782;0.138848;0.260526;0.652661;0.363307;0;0;0;0;1;
0.154369;0.0562802;0.15853;0.266882;0.655814;0.321909;0;0;0;0;1;
0.142597;0.0639176;0.162756;0.277591;0.619075;0.292411;0;0;0;0;1;
0.13936;0.062167;0.16175;0.313088;0.546346;0.26508;0;0;0;0;1;
0.153121;0.0779445;0.159138;0.320399;0.487714;0.238152;0;0;0;0;1;
0.148451;0.0888392;0.170765;0.352365;0.438176;0.202773;0;0;0;0;1;
0.148685;0.0848806;0.169704;0.380899;0.389381;0.178432;0;0;0;0;1;
